Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s),Fx (N),Fy (N),Fz (N),¦Øx (rad/s),¦Øy (rad/s),¦Øz (rad/s),¦Óx (N¡¤m),¦Óy (N¡¤m),¦Óz (N¡¤m)
1.000000e-06,1.486253e-06,1.498465e-06,8.007347e-11,-7.880178e-03,-7.399204e-03,8.007347e-05,1.109936e-12,1.361773e-12,4.192637e-14,-2.779183e+03,2.779183e+03,0.000000e+00,-1.455177e-19,1.455177e-19,0.000000e+00
2.000000e-06,1.474365e-06,1.498352e-06,2.666053e-09,-6.490022e-03,-5.463868e-03,2.585980e-03,7.278843e-13,1.013340e-12,1.312090e-12,-2.568196e+03,2.545454e+03,0.000000e+00,1.104725e-20,-1.223801e-20,0.000000e+00
3.000000e-06,1.463287e-06,1.500041e-06,3.202262e-09,-5.635391e-03,-3.659315e-03,5.362080e-04,4.474837e-13,9.448617e-13,-1.073258e-12,-2.596062e+03,2.553031e+03,0.000000e+00,-1.459053e-21,3.967295e-22,0.000000e+00
4.000000e-06,1.452549e-06,1.501474e-06,1.040455e-09,-5.095102e-03,-4.067149e-03,-2.161807e-03,2.828948e-13,-2.135413e-13,-1.412677e-12,-2.701114e+03,2.633286e+03,0.000000e+00,-5.500546e-21,4.202157e-21,0.000000e+00
5.000000e-06,1.445524e-06,1.502998e-06,-5.628136e-10,-1.391285e-03,-3.935551e-03,-1.603269e-03,1.939314e-12,6.890465e-14,2.924498e-13,-2.704485e+03,2.614744e+03,0.000000e+00,-1.764992e-22,-9.708361e-22,0.000000e+00
6.000000e-06,1.436813e-06,1.503138e-06,-1.095820e-09,-3.075714e-03,-5.287051e-03,-5.330066e-04,-8.819648e-13,-7.076437e-13,5.603878e-13,-2.712479e+03,2.607661e+03,0.000000e+00,-4.185447e-22,-3.708837e-22,0.000000e+00
7.000000e-06,1.428411e-06,1.499192e-06,2.403892e-09,-2.781621e-03,-9.341488e-03,3.499713e-03,1.539868e-13,-2.122899e-12,2.111527e-12,-2.720462e+03,2.599234e+03,0.000000e+00,-4.180273e-22,-4.412350e-22,0.000000e+00
8.000000e-06,1.416162e-06,1.497911e-06,3.000519e-09,-6.438538e-03,-6.817400e-03,5.966264e-04,-1.914757e-12,1.321610e-12,-1.520052e-12,-2.819212e+03,2.685531e+03,0.000000e+00,-5.170489e-21,4.518495e-21,0.000000e+00
9.000000e-06,1.401114e-06,1.497163e-06,3.530224e-09,-9.255579e-03,-6.211042e-03,5.297055e-04,-1.474999e-12,3.174882e-13,-3.503969e-14,-2.822497e+03,2.666842e+03,0.000000e+00,-1.720163e-22,-9.785443e-22,0.000000e+00
1.000000e-05,1.386054e-06,1.496341e-06,4.461706e-09,-9.268541e-03,-6.228490e-03,9.314817e-04,-6.786802e-15,-9.135536e-15,2.103695e-13,-2.836840e+03,2.652810e+03,0.000000e+00,-7.509913e-22,-7.347439e-22,0.000000e+00
