Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s),Fx (N),Fy (N),Fz (N),¦Øx (rad/s),¦Øy (rad/s),¦Øz (rad/s),¦Óx (N¡¤m),¦Óy (N¡¤m),¦Óz (N¡¤m)
1.000000e-06,5.060922e-07,5.051230e-07,1.158093e-09,6.345020e-03,4.869447e-03,1.158093e-03,3.845844e-12,3.073235e-12,6.063758e-13,-3.540644e+02,3.540644e+02,0.000000e+00,-1.853877e-20,1.853877e-20,0.000000e+00
2.000000e-06,5.180523e-07,5.159577e-07,9.864492e-10,1.232147e-02,1.047131e-02,-1.716433e-04,3.129264e-12,2.933127e-12,-6.962481e-13,-4.953506e+02,4.960293e+02,0.000000e+00,-7.397730e-21,7.433268e-21,0.000000e+00
3.000000e-06,5.302834e-07,5.338184e-07,8.659521e-10,1.264781e-02,1.744614e-02,-1.204971e-04,1.708705e-13,3.652015e-12,2.678008e-14,-5.514867e+02,5.531926e+02,0.000000e+00,-2.939278e-21,2.993062e-21,0.000000e+00
4.000000e-06,5.602939e-07,5.702938e-07,2.000900e-09,3.168679e-02,3.481876e-02,1.134948e-03,9.968787e-12,9.096282e-12,6.573494e-13,-2.090390e+03,2.078691e+03,0.000000e+00,-8.057679e-20,7.987488e-20,0.000000e+00
5.000000e-06,6.185256e-07,6.401141e-07,3.983280e-09,6.341673e-02,6.472763e-02,1.982380e-03,1.661376e-11,1.566025e-11,4.437147e-13,-5.819421e+03,5.727361e+03,0.000000e+00,-1.952516e-19,1.910440e-19,0.000000e+00
6.000000e-06,7.319175e-07,8.125836e-07,4.501237e-09,1.402653e-01,1.465483e-01,5.179573e-04,4.023780e-11,4.284119e-11,-7.667701e-13,-2.454552e+04,2.375938e+04,0.000000e+00,-9.804961e-19,9.441541e-19,0.000000e+00
7.000000e-06,8.538751e-07,1.297654e-06,7.706036e-09,3.004013e-01,3.228286e-01,3.204798e-03,8.384704e-11,9.230017e-11,1.406827e-12,-1.164464e+05,1.055469e+05,0.000000e+00,-4.811922e-18,4.282384e-18,0.000000e+00
8.000000e-06,4.180076e-07,1.965263e-06,9.027254e-09,2.108219e-01,2.113209e-01,1.321218e-03,-4.690366e-11,-5.838530e-11,-9.862404e-13,-3.526049e+05,2.435885e+05,0.000000e+00,-1.236523e-17,7.227844e-18,0.000000e+00
9.000000e-06,-2.813429e-08,2.127306e-06,1.195968e-08,1.351886e-01,-1.739474e-03,2.932425e-03,-3.960151e-11,-1.115582e-10,8.436262e-13,-2.685857e+05,1.245637e+05,0.000000e+00,4.399233e-18,-6.232125e-18,0.000000e+00
1.000000e-05,-4.079531e-07,1.953063e-06,1.218045e-08,1.106173e-01,-1.951800e-01,2.207734e-04,-1.286551e-11,-1.012852e-10,-1.419818e-12,-2.492623e+05,4.794977e+04,0.000000e+00,1.011772e-18,-4.011497e-18,0.000000e+00
1.100000e-05,-6.568703e-07,1.547495e-06,1.138888e-08,1.269507e-01,-3.400869e-01,-7.915710e-04,8.552134e-12,-7.587307e-11,-5.300623e-13,-2.328675e+05,-8.634920e+03,0.000000e+00,8.584274e-19,-2.962767e-18,0.000000e+00
1.200000e-05,-9.429527e-07,9.073406e-07,1.312603e-08,1.682875e-01,-4.397493e-01,1.737144e-03,2.164392e-11,-5.218309e-11,1.324032e-12,-3.893071e+05,-1.291661e+05,0.000000e+00,-8.191159e-18,-6.310996e-18,0.000000e+00
1.300000e-05,-1.288244e-06,2.698448e-07,1.704719e-08,-2.241440e-02,-1.980502e-01,3.921167e-03,-9.985129e-11,1.265534e-10,1.143551e-12,-3.661969e+05,-2.704013e+05,0.000000e+00,1.210052e-18,-7.395059e-18,0.000000e+00
1.400000e-05,-1.600139e-06,-5.378484e-07,2.130087e-08,-2.412942e-01,-1.141439e-01,4.253679e-03,-1.146052e-10,4.393322e-11,1.741028e-13,-2.081988e+05,-4.028132e+05,0.000000e+00,8.272758e-18,-6.933073e-18,0.000000e+00
1.500000e-05,-1.367585e-06,-1.354833e-06,2.786825e-08,-4.127148e-02,-4.243715e-02,6.567377e-03,1.047316e-10,3.754557e-11,1.211450e-12,2.101558e+04,-4.714109e+05,0.000000e+00,1.200164e-17,-3.591765e-18,0.000000e+00
1.600000e-05,-7.989212e-07,-1.692318e-06,3.295993e-08,1.190667e-01,1.154125e-01,5.091683e-03,8.395290e-11,8.264989e-11,-7.726717e-13,1.491732e+05,-3.306564e+05,0.000000e+00,6.710319e-18,7.369889e-18,0.000000e+00
1.700000e-05,-1.199617e-07,-1.611238e-06,3.517451e-08,1.898404e-01,2.941552e-01,2.214578e-03,3.705699e-11,9.358948e-11,-1.506449e-12,2.644971e+05,-2.289591e+05,0.000000e+00,6.038343e-18,5.324858e-18,0.000000e+00
1.800000e-05,6.468768e-07,-1.250805e-06,3.760480e-08,1.596136e-01,3.414705e-01,2.430293e-03,-1.582669e-11,2.477421e-11,1.129483e-13,4.633781e+05,-1.182065e+05,0.000000e+00,1.041338e-17,5.798990e-18,0.000000e+00
1.900000e-05,1.389404e-06,-6.524421e-07,3.867150e-08,1.875246e-01,1.699215e-01,1.066701e-03,1.461416e-11,-8.982286e-11,-7.139753e-13,5.002907e+05,1.155942e+05,0.000000e+00,1.932741e-18,1.224178e-17,0.000000e+00
2.000000e-05,1.766089e-06,2.894556e-07,4.052559e-08,1.168991e-01,1.550931e-01,1.854092e-03,-3.697942e-11,-7.764129e-12,4.122771e-13,3.573176e+05,3.810049e+05,0.000000e+00,-7.486051e-18,1.389687e-17,0.000000e+00
