Particle_ID,Time (s),X (m),Y (m),Z (m),Vx (m/s),Vy (m/s),Vz (m/s),Fx (N),Fy (N),Fz (N),ωx (rad/s),ωy (rad/s),ωz (rad/s),τx (pN·μm),τy (pN·μm),τz (pN·μm)
0,5.000000e-04,6.961886e-06,2.699118e-08,-3.406221e-09,-7.622715e-05,5.398236e-05,-6.812443e-06,-7.185078e-13,5.088208e-13,-6.421325e-14,0.000000e+00,0.000000e+00,7.711610e+00,0.000000e+00,0.000000e+00,8.402531e-09
0,1.000000e-03,6.941121e-06,3.997670e-08,5.237940e-09,-4.153034e-05,2.597104e-05,1.728832e-05,-3.913760e-13,2.447302e-13,1.629651e-13,0.000000e+00,0.000000e+00,3.753375e+00,0.000000e+00,0.000000e+00,8.356844e-09
0,1.500000e-03,6.913531e-06,5.253433e-08,-1.457822e-08,-5.518015e-05,2.511526e-05,-3.963232e-05,-5.200757e-13,2.366948e-13,-3.735884e-13,0.000000e+00,0.000000e+00,3.663840e+00,0.000000e+00,0.000000e+00,8.153126e-09
0,2.000000e-03,6.869715e-06,4.136460e-08,1.226327e-08,-8.763167e-05,-2.233946e-05,5.368299e-05,-8.259446e-13,-2.106069e-13,5.060529e-13,0.000000e+00,0.000000e+00,-3.134926e+00,0.000000e+00,0.000000e+00,8.298977e-09
0,2.500000e-03,6.806396e-06,2.300703e-08,-1.543059e-09,-1.266394e-04,-3.671515e-05,-2.761266e-05,-1.193591e-12,-3.460580e-13,-2.603326e-13,0.000000e+00,0.000000e+00,-5.233460e+00,0.000000e+00,0.000000e+00,8.069264e-09
0,3.000000e-03,6.740401e-06,2.923833e-08,-4.292449e-09,-1.319885e-04,1.246261e-05,-5.498781e-06,-1.243968e-12,1.175011e-13,-5.180048e-14,0.000000e+00,0.000000e+00,1.896381e+00,0.000000e+00,0.000000e+00,8.170183e-09
0,3.500000e-03,6.704647e-06,7.127176e-08,-2.006879e-08,-7.150959e-05,8.406686e-05,-3.155267e-05,-6.738955e-13,7.923800e-13,-2.974056e-13,0.000000e+00,0.000000e+00,1.251771e+01,0.000000e+00,0.000000e+00,8.090995e-09
0,4.000000e-03,6.700485e-06,9.908636e-08,-4.126042e-08,-8.323967e-06,5.562919e-05,-4.238327e-05,-7.838195e-14,5.242512e-13,-3.994648e-13,0.000000e+00,0.000000e+00,8.309206e+00,0.000000e+00,0.000000e+00,8.048455e-09
0,4.500000e-03,6.673563e-06,7.020313e-08,-2.724455e-08,-5.384317e-05,-5.776646e-05,2.803175e-05,-5.075098e-13,-5.445710e-13,2.642704e-13,0.000000e+00,0.000000e+00,-8.500708e+00,0.000000e+00,0.000000e+00,8.043884e-09
0,5.000000e-03,6.622892e-06,6.676668e-08,-5.509368e-08,-1.013429e-04,-6.872901e-06,-5.569827e-05,-9.551865e-13,-6.472987e-14,-5.250359e-13,0.000000e+00,0.000000e+00,-8.701892e-01,0.000000e+00,0.000000e+00,8.011132e-09
0,5.500000e-03,6.554616e-06,8.719776e-08,-9.188523e-08,-1.365522e-04,4.086216e-05,-7.358310e-05,-1.287013e-12,3.851590e-13,-6.935241e-13,0.000000e+00,0.000000e+00,6.376881e+00,0.000000e+00,0.000000e+00,7.950269e-09
0,6.000000e-03,6.498446e-06,8.969047e-08,-7.232021e-08,-1.123383e-04,4.985414e-06,3.913004e-05,-1.058736e-12,4.693671e-14,3.689159e-13,0.000000e+00,0.000000e+00,9.882568e-01,0.000000e+00,0.000000e+00,7.868605e-09
0,6.500000e-03,6.462374e-06,9.679079e-08,-9.744651e-08,-7.214524e-05,1.420066e-05,-5.025260e-05,-6.799086e-13,1.338379e-13,-4.737178e-13,0.000000e+00,0.000000e+00,2.337853e+00,0.000000e+00,0.000000e+00,7.801229e-09
0,7.000000e-03,6.407248e-06,1.212331e-07,-6.377265e-08,-1.102517e-04,4.888460e-05,6.734771e-05,-1.039140e-12,4.607544e-13,6.348666e-13,0.000000e+00,0.000000e+00,7.818100e+00,0.000000e+00,0.000000e+00,7.758055e-09
0,7.500000e-03,6.398685e-06,1.119731e-07,-4.526767e-08,-1.712631e-05,-1.851997e-05,3.700996e-05,-1.613087e-13,-1.746496e-13,3.487773e-13,0.000000e+00,0.000000e+00,-2.839357e+00,0.000000e+00,0.000000e+00,2.160113e-08
0,8.000000e-03,6.321891e-06,9.886371e-08,-5.071603e-08,-1.535867e-04,-2.621880e-05,-1.089671e-05,-1.447670e-12,-2.471436e-13,-1.027517e-13,0.000000e+00,0.000000e+00,-3.676846e+00,0.000000e+00,0.000000e+00,2.157170e-08
0,8.500000e-03,6.275761e-06,8.338479e-08,-3.385375e-08,-9.226077e-05,-3.095785e-05,3.372455e-05,-8.694697e-13,-2.917863e-13,3.178955e-13,0.000000e+00,0.000000e+00,-4.667735e+00,0.000000e+00,0.000000e+00,7.589484e-09
0,9.000000e-03,6.239518e-06,9.343641e-08,-1.405636e-08,-7.248649e-05,2.010325e-05,3.959478e-05,-6.831472e-13,1.895145e-13,3.731784e-13,0.000000e+00,0.000000e+00,3.356016e+00,0.000000e+00,0.000000e+00,7.533848e-09
0,9.500000e-03,6.212948e-06,1.024543e-07,1.530811e-09,-5.314033e-05,1.803579e-05,3.117435e-05,-5.008144e-13,1.699707e-13,2.938020e-13,0.000000e+00,0.000000e+00,3.017260e+00,0.000000e+00,0.000000e+00,7.490517e-09
0,1.000000e-02,6.157216e-06,9.303230e-08,2.932289e-08,-1.114640e-04,-1.884400e-05,5.558417e-05,-1.050588e-12,-1.776693e-13,5.238953e-13,0.000000e+00,0.000000e+00,-2.736910e+00,0.000000e+00,0.000000e+00,2.049553e-08
0,1.050000e-02,6.136022e-06,7.403505e-08,4.625861e-09,-4.238787e-05,-3.799451e-05,-4.939407e-05,-3.994202e-13,-3.581209e-13,-4.656435e-13,0.000000e+00,0.000000e+00,-6.065500e+00,0.000000e+00,0.000000e+00,7.233046e-09
0,1.100000e-02,6.099954e-06,8.766609e-08,5.386080e-08,-7.213606e-05,2.726208e-05,9.846988e-05,-6.798989e-13,2.570008e-13,9.282193e-13,0.000000e+00,0.000000e+00,4.583962e+00,0.000000e+00,0.000000e+00,7.207851e-09
0,1.150000e-02,6.078789e-06,7.115028e-08,5.633550e-08,-4.232911e-05,-3.303162e-05,4.949394e-06,-3.989096e-13,-3.113920e-13,4.654411e-14,0.000000e+00,0.000000e+00,-5.314410e+00,0.000000e+00,0.000000e+00,7.165701e-09
0,1.200000e-02,6.048263e-06,7.016437e-08,5.375914e-08,-6.105263e-05,-1.971810e-06,-5.152712e-06,-5.754280e-13,-1.855977e-14,-4.857428e-14,0.000000e+00,0.000000e+00,-2.069659e-01,0.000000e+00,0.000000e+00,7.140591e-09
0,1.250000e-02,5.986233e-06,6.992460e-08,8.223839e-08,-1.240589e-04,-4.795378e-07,5.695851e-05,-1.169296e-12,-4.527937e-15,5.368896e-13,0.000000e+00,0.000000e+00,1.584659e-01,0.000000e+00,0.000000e+00,7.104723e-09
0,1.300000e-02,5.949268e-06,3.078926e-08,9.822824e-08,-7.392967e-05,-7.827069e-05,3.197969e-05,-6.967155e-13,-7.377795e-13,3.013740e-13,0.000000e+00,0.000000e+00,-1.292927e+01,0.000000e+00,0.000000e+00,7.031866e-09
0,1.350000e-02,5.879755e-06,3.613475e-08,1.099234e-07,-1.390268e-04,1.069098e-05,2.339022e-05,-1.310368e-12,1.008479e-13,2.204382e-13,0.000000e+00,0.000000e+00,1.917733e+00,0.000000e+00,0.000000e+00,6.988061e-09
0,1.400000e-02,5.818495e-06,5.397292e-08,1.433820e-07,-1.225212e-04,3.567636e-05,6.691734e-05,-1.154717e-12,3.362592e-13,6.307290e-13,0.000000e+00,0.000000e+00,6.195306e+00,0.000000e+00,0.000000e+00,6.906448e-09
